epoch 1, batch 100, loss 2.278
epoch 1, batch 200, loss 2.238
epoch 2, batch 100, loss 0.506
epoch 2, batch 200, loss 0.127
epoch 3, batch 100, loss 0.078
epoch 3, batch 200, loss 0.070
epoch 4, batch 100, loss 0.062
epoch 4, batch 200, loss 0.047
epoch 5, batch 100, loss 0.042
epoch 5, batch 200, loss 0.035
epoch 6, batch 100, loss 0.031
epoch 6, batch 200, loss 0.033
epoch 7, batch 100, loss 0.026
epoch 7, batch 200, loss 0.025
epoch 8, batch 100, loss 0.020
epoch 8, batch 100, loss 0.019
epoch 9, batch 100, loss 0.018
epoch 9, batch 200, loss 0.020
epoch 10, batch 100, loss 0.016
epoch 10, batch 200, loss 0.015
epoch 11, batch 100, loss 0.013
epoch 11, batch 200, loss 0.014
epoch 12, batch 100, loss 0.012
epoch 12, batch 200, loss 0.012
epoch 13, batch 100, loss 0.012
epoch 13, batch 200, loss 0.009
epoch 14, batch 100, loss 0.008
epoch 14, batch 200, loss 0.010
epoch 15, batch 100, loss 0.006
epoch 15, batch 200, loss 0.010
epoch 16, batch 100, loss 0.007
epoch 16, batch 200, loss 0.007
epoch 17, batch 100, loss 0.007
epoch 17, batch 200, loss 0.007
epoch 18, batch 100, loss 0.006
epoch 18, batch 200, loss 0.006
epoch 19, batch 100, loss 0.006
epoch 19, batch 200, loss 0.006
epoch 20, batch 100, loss 0.004
epoch 20, batch 200, loss 0.007
epoch 1, batch 100, loss 0.015
epoch 1, batch 200, loss 0.005
epoch 2, batch 100, loss 0.003
epoch 2, batch 200, loss 0.004
epoch 3, batch 100, loss 0.003
epoch 3, batch 200, loss 0.005
epoch 4, batch 100, loss 0.004
epoch 4, batch 200, loss 0.003
epoch 5, batch 100, loss 0.006
epoch 5, batch 200, loss 0.003
epoch 6, batch 100, loss 0.003
epoch 6, batch 200, loss 0.003
epoch 7, batch 100, loss 0.003
epoch 7, batch 200, loss 0.002
epoch 8, batch 100, loss 0.004
epoch 8, batch 200, loss 0.003
epoch 9, batch 100, loss 0.002
epoch 9, batch 200, loss 0.003
epoch 10, batch 100, loss 0.002
epoch 10, batch 200, loss 0.003
epoch 11, batch 100, loss 0.002
epoch 11, batch 200, loss 0.002
epoch 12, batch 100, loss 0.003
epoch 12, batch 200, loss 0.002
epoch 13, batch 100, loss 0.001
epoch 13, batch 200, loss 0.002
epoch 14, batch 100, loss 0.002
epoch 14, batch 200, loss 0.002
epoch 15, batch 100, loss 0.002
epoch 15, batch 200, loss 0.002
epoch 16, batch 100, loss 0.002
epoch 16, batch 200, loss 0.003
epoch 17, batch 100, loss 0.003
epoch 17, batch 200, loss 0.004
epoch 18, batch 100, loss 0.003
epoch 18, batch 200, loss 0.002
epoch 19, batch 100, loss 0.003
epoch 19, batch 200, loss 0.003
epoch 20, batch 100, loss 0.002
epoch 20, batch 200, loss 0.001
